상호명,상권업종중분류명,시도명,시군구명,행정동명,경도,위도
온유공인중개사사무소,부동산 서비스,전북특별자치도,전주시 완산구,효자5동,127.106971052481,35.8181559092615
싼,섬유·의복·신발 소매,전북특별자치도,전주시 완산구,중앙동,127.145757311842,35.8189172579465
서신전주식당,한식,전북특별자치도,전주시 완산구,서신동,127.121037586733,35.8341669588441
누룽천하,한식,전북특별자치도,전주시 완산구,풍남동,127.147518897737,35.8140933656908
마코스포츠,섬유·의복·신발 소매,전북특별자치도,익산시,중앙동,126.950150023331,35.9410608250403
아지트,주점,전북특별자치도,남원시,인월면,127.603540597357,35.4619748225758
EG스크린골프,스포츠 서비스,전북특별자치도,전주시 완산구,중화산2동,127.122495947651,35.8180780030802
궁중팥칼국수,한식,전북특별자치도,정읍시,시기동,126.854057648882,35.5625030660016
법인온드림브레드,기타 간이,전북특별자치도,완주군,봉동읍,127.169664510158,35.9408521366062
사라미용실,이용·미용,전북특별자치도,김제시,죽산면,126.816257568567,35.7694038689462
맥주ZIP,주점,전북특별자치도,익산시,어양동,126.980702164355,35.9528128047753
원일유통강천산휴게소대구,기타 간이,전북특별자치도,순창군,순창읍,127.104256465871,35.3643834621744
하루반찬,식료품 소매,전북특별자치도,정읍시,신태인읍,126.885756897431,35.6880147944445
무병장수건강원,식료품 소매,전북특별자치도,군산시,흥남동,126.720262274456,35.9818325873005
이정희헤어아트,이용·미용,전북특별자치도,전주시 완산구,효자1동,127.129179484341,35.8043718324876
예스공인중개사사무소,부동산 서비스,전북특별자치도,익산시,영등1동,126.966039081175,35.9493127360309
고려영등가스,연료 소매,전북특별자치도,익산시,춘포면,127.023696698049,35.9473865444496
송학민물건강원,식료품 소매,전북특별자치도,익산시,송학동,126.94046372911,35.9410834489771
처갓집양념치킨동산,기타 간이,전북특별자치도,전주시 덕진구,조촌동,127.071257154058,35.8741594391478
허브공인중개사사무소,부동산 서비스,전북특별자치도,전주시 덕진구,혁신동,127.060850900749,35.8342485524834
가요광장,주점,전북특별자치도,정읍시,내장상동,126.927702301311,35.4941787439184
우진MP,의약·화장품 소매,전북특별자치도,전주시 완산구,중화산2동,127.116161132115,35.8144341852162
맑은상회에프앤비,비알코올 ,전북특별자치도,순창군,쌍치면,127.012313896799,35.516777540729
뚜레쥬르전주송천,기타 간이,전북특별자치도,전주시 덕진구,송천2동,127.118587255524,35.8535554323245
양평해장국나운점,한식,전북특별자치도,군산시,나운2동,126.702186557215,35.9645755129664
씨엔에스CNS과학학원,일반 교육,전북특별자치도,전주시 완산구,효자4동,127.102072582412,35.8123109838831
리얼웨딩,기타 개인,전북특별자치도,전주시 완산구,효자5동,127.103310718213,35.8199886696985
의석의료재단,병원,전북특별자치도,남원시,죽항동,127.382801943243,35.4057425270431
감로한의원,의원,전북특별자치도,남원시,금동,127.376098189191,35.4058807573988
서남사,오락용품 소매,전북특별자치도,남원시,도통동,127.39336072423,35.4173355672346
대인상사,오락용품 소매,전북특별자치도,전주시 덕진구,송천1동,127.128727502146,35.8670457829542
지우커뮤니케이션,인쇄·제품제작,전북특별자치도,부안군,행안면,126.72323818972,35.7289751584288
풍년,부동산 서비스,전북특별자치도,익산시,송학동,126.935863092586,35.9427123276773
곰소만선수산,식료품 소매,전북특별자치도,부안군,진서면,126.616628898362,35.5883085894103
자연미공예,가구 소매,전북특별자치도,정읍시,입암면,126.818338458761,35.5100348166257
김밥천국,기타 간이,전북특별자치도,군산시,흥남동,126.723904398274,35.9771726335084
광진이용원,이용·미용,전북특별자치도,군산시,흥남동,126.720876178669,35.9775351332417
만다라다방,비알코올 ,전북특별자치도,전주시 완산구,풍남동,127.147009825081,35.8140489262801
대인공인중개사,부동산 서비스,전북특별자치도,전주시 덕진구,송천1동,127.120372545958,35.8555003680015
군산지오펀창의융합개발원,기타 교육,전북특별자치도,군산시,수송동,126.719213553205,35.9648598936846
다옴헤어,이용·미용,전북특별자치도,군산시,조촌동,126.735626933154,35.9729992815098
빅컴,기타 사업 서비스,전북특별자치도,전주시 완산구,평화2동,127.135228073982,35.7894042066999
씨유남원서문,종합 소매,전북특별자치도,남원시,동충동,127.37683510942,35.4104661597106
대한사료,담배 소매,전북특별자치도,고창군,고창읍,126.699233748667,35.4301029089828
한정식비원,한식,전북특별자치도,정읍시,연지동,126.846452485859,35.5710469363228
두리미용실,이용·미용,전북특별자치도,정읍시,시기동,126.854551765102,35.563747454967
자연을벗삼아,한식,전북특별자치도,완주군,소양면,127.240194481046,35.8601963623198
호식이두마리치킨소룡점,기타 간이,전북특별자치도,군산시,소룡동,126.678277545124,35.9719489789498
플래닛커피남원실상사점,비알코올 ,전북특별자치도,남원시,산내면,127.637770928548,35.4189961091946
알.키즈업스포츠,기타 교육,전북특별자치도,전주시 완산구,효자5동,127.102200508277,35.8171596604132
L.H부동산중개사무소,부동산 서비스,전북특별자치도,전주시 완산구,효자4동,127.105773266019,35.8077744375602
화산생곱창,한식,전북특별자치도,전주시 완산구,효자5동,127.107822382521,35.8176234048646
꾸움제과,기타 간이,전북특별자치도,전주시 덕진구,진북동,127.130130583685,35.8312644185244
무주반딧불유통사업단,종합 소매,전북특별자치도,무주군,무주읍,127.650963633826,35.9752648496047
피콕,비알코올 ,전북특별자치도,전주시 완산구,효자5동,127.099572010067,35.8212265514679
